"","iso","name","lat","long","family","macroarea","country","tones","happyPlanetIndex","dailyCalories","freedomPress","rainfall","percentForest","inventory","distanceFromCapeTown"
"265","bom","Birom",9.666666667,8.833333333,"Niger-Congo","Africa","NGA",0,22.2,2700,3741,1150,7.678118515,60,4953.492463
"266","bib","Bisa",11.5,-0.5,"Mande","Africa","GHA",3,21.4,3016,1841,1187,41.03454338,65,5434.779751
"269","ssb","Sama (Southern)",4.5,118.5,"Austronesian","Papunesia","PHL",0,35,2570,4253,2348,26.96448335,23,11219.31768
"271","xub","Betta Kurumba",11.5,76.75,"Dravidian","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,37,7963.844205
"273","bkq","Bakairí",-14,-55,"Cariban","South America","BRA",0,34.3,3263,312,1761,59.04878358,87,7631.503949
"274","bcl","Bikol",13.33333333,123.5,"Austronesian","Papunesia","PHL",0,35,2570,4253,2348,26.96448335,28,12212.88406
"275","bdu","Bakundu",4.833333333,9.333333333,"Niger-Congo","Africa","CMR",0,16.7,2671,4092,1604,39.80453132,29,4415.765218
"276","btx","Batak (Karo)",3.25,98.25,"Austronesian","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,45,9278.152842
"277","bkk","Brokskat",35.33333333,76.5,"Indo-European","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,97,9786.445929
"278","bri","Bakueri",4.25,9.25,"Niger-Congo","Africa","CMR",2,16.7,2671,4092,1604,39.80453132,31,4354.208103
"279","bla","Blackfoot",50,-112.6666667,"Algic","North America","USA",0,20.7,3682,2373,715,33.89972254,25,15692.9922
"281","bci","Baule",7,-5,"Niger-Congo","Africa","CIV",4,14.4,2799,3008,1348,32.70754717,60,5178.002908
"286","bol","Bole",11.33333333,11.25,"Afro-Asiatic","Africa","NGA",0,22.2,2700,3741,1150,7.678118515,38,5091.001793
"288","bft","Balti",35,76,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,53,9728.117208
"290","bll","Biloxi",30.5,-88.66666667,"Siouan","North America","USA",0,20.7,3682,2373,715,33.89972254,20,13298.93073
"293","tzm","Berber (Middle Atlas)",33,-5,"Afro-Asiatic","Africa","MAR",0,32.7,3403,4313,346,12.61931436,39,7836.466056
"294","bim","Bimoba",10.5,0,"Niger-Congo","Africa","GHA",4,21.4,3016,1841,1187,41.03454338,44,5311.404744
"295","bax","Bamun",5.5,10.91666667,"Niger-Congo","Africa","CMR",0,16.7,2671,4092,1604,39.80453132,38,4455.838516
"298","jaa","Banawá",-7,-65,"Arauan","South America","BRA",0,34.3,3263,312,1761,59.04878358,50,8971.521463
"300","bza","Bandi",8.083333333,-10.25,"Mande","Africa","LBR",4,22.2,2204,3033,2391,43.38662791,48,5565.573583
"302","bin","Bini",6.416666667,5.833333333,"Niger-Congo","Africa","NGA",2,22.2,2700,3741,1150,7.678118515,48,4679.065987
"303","bdy","Bandjalang",-28.75,153,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,16,11569.3337
"304","abb","Bankon",4.416666667,9.583333333,"Niger-Congo","Africa","CMR",4,16.7,2671,4092,1604,39.80453132,37,4364.750326
"308","bao","Waimaha",0.333333333,-70.25,"Tucanoan","South America","COL",2,40.7,2804,4103,3240,52.72802163,70,9908.993349
"309","nhb","Beng",7.833333333,-4.25,"Mande","Africa","CIV",6,14.4,2799,3008,1348,32.70754717,49,5224.072301
"310","nbj","Bilinarra",-16,131.6666667,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,23,11040.75738
"313","bwi","Baniwa",2.666666667,-66.83333333,"Arawakan","South America","BRA",0,34.3,3263,312,1761,59.04878358,87,9739.325956
"316","brx","Bodo",26.83333333,92,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,21,10282.144
"319","bqc","Boko",10.5,3.5,"Mande","Africa","NGA",3,22.2,2700,3741,1150,7.678118515,34,5187.202872
"323","boa","Bora",-2.166666667,-72.33333333,"Huitotoan","South America","COL",0,40.7,2804,4103,3240,52.72802163,72,9946.047907
"329","eus","Basque (Bidasoa Valley)",43,-3.833333333,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8850.735631
"330","eus","Basque (Gernica)",43.33333333,-3,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8864.723015
"331","eus","Basque (Hondarribia)",42.5,-3,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8776.551053
"332","eus","Basque (Basaburua and Imoz)",43,-1.666666667,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8796.983708
"333","eus","Basque (Lekeitio)",43,-2.5,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8817.046151
"334","eus","Basque (Northern High Navarrese)",43.33333333,-2.5,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8852.39803
"335","eus","Basque (Oñati)",42.5,-3.5,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8789.353485
"336","eus","Basque (Roncalese)",43,-2,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8804.916494
"337","eus","Basque (Sakana)",42.5,-2,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8751.777584
"338","eus","Basque (Zeberio)",42,-3,"Basque","Eurasia","ESP",0,36,3174,2051,636,36.81850894,56,8723.659855
"339","brb","Brao",14.16666667,107.5,"Austro-Asiatic","Eurasia","VNM",0,40.3,2745,7505,1821,47.64408037,31,10800.54595
"340","bba","Bariba",10,2.5,"Niger-Congo","Africa","NGA",2,22.2,2700,3741,1150,7.678118515,61,5167.496945
"342","bcj","Bardi",-16.58333333,122.9166667,"Nyulnyulan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,24,10263.93806
"343","bre","Breton",48,-3,"Indo-European","Eurasia","FRA",0,30.4,3482,2187,867,31.02690679,87,9358.862006
"344","rif","Berber (Rif)",34.5,-4,"Afro-Asiatic","Africa","DZA",0,33.3,3296,4313,89,0.821248331,49,7961.646511
"345","brh","Brahui",28.5,67,"Dravidian","Eurasia","PAK",0,31.5,2440,4324,494,1.909506019,33,8622.154561
"346","bzd","Bribri",9.416666667,-83,"Chibchan","North America","CRI",0,44.7,2848,1401,2926,53.97571485,27,11643.72185
"347","bji","Burji",5.5,37.83333333,"Afro-Asiatic","Africa","ETH",0,26.7,2131,5017,848,12.499,36,4837.212187
"350","mya","Burmese",21,96,"Sino-Tibetan","Eurasia","MMR",3,24.7,2571,4315,2091,44.4677528,96,10223.25305
"354","bor","Bororo",-16,-57,"Bororoan","South America","BRA",0,34.3,3263,312,1761,59.04878358,42,7700.760382
"355","bsn","Barasano",-0.166666667,-70.66666667,"Tucanoan","South America","COL",0,40.7,2804,4103,3240,52.72802163,17,9916.402073
"360","tzm","Berber (Ayt Seghrouchen Middle Atlas)",33.33333333,-4.666666667,"Afro-Asiatic","Africa","MAR",0,32.7,3403,4313,346,12.61931436,39,7860.449208
"362","siz","Berber (Siwa)",29.16666667,25.5,"Afro-Asiatic","Africa","EGY",0,23.8,3522,5672,51,0.073333668,38,7057.085531
"363","bak","Bashkir",53,58,"Altaic","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,38,10398.57408
"366","eus","Basque (Souletin)",43.5,-1.5,"Basque","Eurasia","FRA",0,30.4,3482,2187,867,31.02690679,56,8846.325885
"367","eus","Basque",43,-3,"Basque","Eurasia","FRA",0,30.4,3482,2187,867,31.02690679,56,8829.45133
"368","bsc","Basari",12.66666667,-13,"Niger-Congo","Africa","SEN",3,21.9,2456,2561,686,42.96992676,30,6157.417386
"372","bbc","Batak (Toba)",2.5,99,"Austronesian","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,48,9299.321036
"373","bvr","Burarra",-12.25,134.5833333,"Mangrida","Australia","AUS",0,21.2,3276,1546,534,16.23875662,21,11549.18762
"376","bug","Bugis",-4,120,"Austronesian","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,25,10823.34801
"378","nmg","Bujeba",3,10.16666667,"Niger-Congo","Africa","CMR",0,16.7,2671,4092,1604,39.80453132,54,4197.469092
"379","bxk","Bukusu",0.75,34.66666667,"Niger-Congo","Africa","KEN",0,24.2,2206,3082,630,7.753803985,30,4213.656389
"380","bul","Bulgarian",42.5,25,"Indo-European","Eurasia","BGR",0,20.4,2829,3522,608,35.21554901,91,8527.14674
"383","bsk","Burushaski",36.5,74.5,"Burushaski","Eurasia","PAK",3,31.5,2440,4324,494,1.909506019,96,9753.931084
"384","bqp","Busa",9.666666667,4,"Mande","Africa","NGA",3,22.2,2700,3741,1150,7.678118515,31,5082.578688
"387","bum","Bulu",3,11,"Niger-Congo","Africa","CMR",5,16.7,2671,4092,1604,39.80453132,36,4180.319921
"388","bwu","Buli (in Ghana)",10.5,-1.25,"Niger-Congo","Africa","GHA",10,21.4,3016,1841,1187,41.03454338,46,5361.24211
"390","bdy","Bandjalang (Waalubal)",-29.08333333,152.5833333,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,16,11515.19935
"391","bdr","Bajau (West Coast)",6.333333333,116.3333333,"Austronesian","Papunesia","MYS",0,30.3,2916,4741,2875,67.55440572,23,11132.06982
"395","bdy","Bandjalang (Yugumbir)",-27.91666667,153,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,16,11642.777
"398","cbv","Cacua",1.083333333,-70,"Cacua-Nukak","South America","COL",0,40.7,2804,4103,3240,52.72802163,48,9932.508436
"399","cad","Caddo",33.33333333,-93.5,"Caddoan","North America","USA",0,20.7,3682,2373,715,33.89972254,23,13841.36104
"401","suq","Chai",5.333333333,35.33333333,"Eastern Sudanic","Africa","ETH",2,26.7,2131,5017,848,12.499,31,4714.981246
"403","kbh","Camsá",1.166666667,-77,"Camsá","South America","COL",0,40.7,2804,4103,3240,52.72802163,55,10583.622
"404","cbu","Candoshi",-4.166666667,-77,"Candoshi","South America","PER",0,34.6,2700,3027,1738,57.79140625,27,10250.83682
"405","kaq","Capanahua",-7,-74,"Panoan","South America","PER",0,34.6,2700,3027,1738,57.79140625,24,9799.154521
"406","car","Carib",5.5,-56,"Cariban","South America","SUR",0,25.4,2753,1644,2331,98.28205128,97,8933.05133
"407","cbr","Cashibo",-8.5,-75.5,"Panoan","South America","PER",0,34.6,2700,3027,1738,57.79140625,21,9842.827199
"408","cto","Catio",7.166666667,-76.33333333,"Choco","South America","COL",0,40.7,2804,4103,3240,52.72802163,31,10892.36847
"409","cav","Cavineña",-13.33333333,-66.5,"Tacanan","South America","BOL",0,23.3,2256,3245,1146,50.55294009,48,8726.473333
"410","cpc","Campa (Axininca)",-12,-74,"Arawakan","South America","PER",0,34.6,2700,3027,1738,57.79140625,26,9489.352826
"411","cbi","Cayapa",0.666666667,-79,"Barbacoan","South America","ECU",0,37,2344,3056,2274,50.52295056,83,10736.8643
"412","boi","Chumash (Barbareño)",34.5,-120.25,"Chumash","North America","USA",0,20.7,3682,2373,715,33.89972254,84,16246.54573
"413","cao","Chácobo",-12.16666667,-66.75,"Panoan","South America","BOL",0,23.3,2256,3245,1146,50.55294009,41,8819.224864
"415","cic","Chickasaw",34,-88,"Muskogean","North America","USA",0,20.7,3682,2373,715,33.89972254,25,13396.19542
"419","cho","Choctaw",32.25,-88.5,"Muskogean","North America","USA",0,20.7,3682,2373,715,33.89972254,21,13363.03198
"420","mch","Carib (De'kwana)",5.5,-65,"Cariban","South America","VEN",0,33.6,2631,4603,2044,52.92557111,26,9748.698772
"422","ceb","Cebuano",10,124,"Austronesian","Papunesia","PHL",0,35,2570,4253,2348,26.96448335,21,12061.93763
"425","old","Chaga",-3,37,"Niger-Congo","Africa","TZA",0,22.1,2208,3065,1071,51.99819372,25,3942.594207
"428","che","Chechen",43.25,45.83333333,"Nakh-Daghestanian","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,44,9024.537899
"429","cdn","Chaudangsi",30,80.25,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,42,9626.606565
"430","chr","Cherokee",35.5,-83.5,"Iroquoian","North America","USA",0,20.7,3682,2373,715,33.89972254,17,13083.30808
"432","sgw","Chaha",8.112935,37.93267,"Afro-Asiatic","Africa","ETH",0,26.7,2131,5017,848,12.499,254,5108.769867
"433","cid","Chimariko",41,-123,"Hokan","North America","USA",0,20.7,3682,2373,715,33.89972254,42,16555.50446
"435","ckt","Chukchi",67,-173,"Chukotko-Kamchatkan","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,44,16268.12965
"436","cjh","Chehalis (Upper)",46.58333333,-123,"Salishan","North America","USA",0,20.7,3682,2373,715,33.89972254,34,16500.65311
"440","chp","Chipewyan",59,-106,"Na-Dene","North America","CAN",4,23.9,3494,1528,537,38.16667052,113,15133.19466
"441","chq","Chinantec (Quiotepec)",17.58333333,-96.66666667,"Oto-Manguean","North America","MEX",0,40.7,3072,4891,758,33.97206718,41,13377.23379
"442","crw","Chrau",10.75,107.5,"Austro-Asiatic","Eurasia","VNM",0,40.3,2745,7505,1821,47.64408037,33,10591.15394
"445","cag","Nivacle",-23.5,-60.5,"Matacoan","South America","PRY",0,23.3,2589,3232,1130,38.56783287,56,7603.944785
"446","chv","Chuvash",55.5,47.5,"Altaic","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,69,10324.35837
"447","cja","Cham (Western)",12,105.5,"Austronesian","Eurasia","KHM",2,25.6,2477,459,1904,53.57466576,67,10486.78899
"449","cbt","Chayahuita",-5.5,-77,"Cahuapanan","South America","PER",0,34.6,2700,3027,1738,57.79140625,18,10167.3404
"450","nan","Chaozhou",23.66666667,116.6666667,"Sino-Tibetan","Eurasia","CHN",0,25.7,3108,7829,645,22.18966958,25,12174.15105
"457","xra","Canela-Krahô",-6,-46,"Macro-Ge","South America","BRA",0,34.3,3263,312,1761,59.04878358,46,7286.247408
"462","cle","Chinantec (Lealao)",17.33333333,-95.91666667,"Oto-Manguean","North America","MEX",0,40.7,3072,4891,758,33.97206718,35,13294.30645
"465","cbg","Chimila",10,-74,"Chibchan","South America","COL",0,40.7,2804,4103,3240,52.72802163,36,10851.00497
"467","cjm","Cham (Eastern)",11.33333333,108.5,"Austronesian","Eurasia","VNM",0,40.3,2745,7505,1821,47.64408037,30,10718.00261
"468","ute","Chemehuevi",34.33333333,-115.1666667,"Uto-Aztecan","North America","USA",0,20.7,3682,2373,715,33.89972254,37,15786.47123
"471","com","Comanche",33.5,-101.5,"Uto-Aztecan","North America","USA",0,20.7,3682,2373,715,33.89972254,18,14547.09805
"473","coo","Comox",50.16666667,-125,"Salishan","North America","CAN",0,23.9,3494,1528,537,38.16667052,42,16551.67374
"474","chf","Chontal Maya",18.16666667,-92.58333333,"Mayan","North America","MEX",0,40.7,3072,4891,758,33.97206718,37,13032.86362
"475","ram","Canela",-7,-45,"Macro-Ge","South America","BRA",0,34.3,3263,312,1761,59.04878358,29,7132.143448
"477","yue","Cantonese",23,113,"Sino-Tibetan","Eurasia","CHN",5,25.7,3108,7829,645,22.18966958,57,11812.73523
"479","cod","Cocama",-5,-74.5,"Tupian","South America","PER",0,34.6,2700,3027,1738,57.79140625,16,9969.401449
"480","crd","Coeur d'Alene",47.25,-116.5,"Salishan","North America","USA",0,20.7,3682,2373,715,33.89972254,48,16001.53309
"481","con","Cofán",0.166666667,-77.16666667,"Cofán","South America","COL",0,40.7,2804,4103,3240,52.72802163,72,10536.78716
"482","kog","Cogui",11,-73.83333333,"Chibchan","South America","COL",0,40.7,2804,4103,3240,52.72802163,36,10896.66297
"484","ctu","Chol",17.75,-92.5,"Mayan","North America","MEX",0,40.7,3072,4891,758,33.97206718,26,13002.33237
"492","cdm","Chepang",27.66666667,84.75,"Sino-Tibetan","Eurasia","NPL",0,30.5,2673,3205,1500,25.3644925,24,9781.614014
"494","cap","Chipaya",-18.75,-67.83333333,"Uru-Chipaya","South America","BOL",0,23.3,2256,3245,1146,50.55294009,51,8527.139064
"495","cax","Chiquitano",-17.5,-60,"Chiquito","South America","BOL",0,23.3,2256,3245,1146,50.55294009,26,7890.163125
"497","gui","Chiriguano",-23.66666667,-64.33333333,"Tupian","South America","ARG",0,35.2,3229,2605,591,9.906858285,48,7935.834425
"500","cbd","Carijona",1,-73,"Cariban","South America","COL",0,40.7,2804,4103,3240,52.72802163,21,10204.17412
"504","cro","Crow",47,-108,"Siouan","North America","USA",3,20.7,3682,2373,715,33.89972254,23,15359.6024
"505","cbc","Carapana",0.833333333,-70.75,"Tucanoan","South America","BRA",0,34.3,3263,312,1761,59.04878358,23,9986.180289
"507","crq","Chorote",-22.5,-62.5,"Matacoan","South America","ARG",0,35.2,3229,2605,591,9.906858285,21,7836.95621
"508","cso","Chinantec (Sochiapan)",17.75,-96.66666667,"Oto-Manguean","North America","MEX",7,40.7,3072,4891,758,33.97206718,39,13386.35998
"510","cbs","Cashinahua",-10.5,-71.83333333,"Panoan","South America","BRA",0,34.3,3263,312,1761,59.04878358,23,9384.839071
"512","ctp","Chatino (Sierra Occidental)",16.25,-97.33333333,"Oto-Manguean","North America","MEX",0,40.7,3072,4891,758,33.97206718,25,13364.906
"515","ctd","Chin (Tiddim)",23.33333333,93.66666667,"Sino-Tibetan","Eurasia","MMR",0,24.7,2571,4315,2091,44.4677528,26,10182.65764
"516","cat","Catalan",41.75,2,"Indo-European","Eurasia","ESP",0,36,3174,2051,636,36.81850894,39,8582.963663
"521","cub","Cubeo",1.333333333,-70.5,"Tucanoan","South America","COL",0,40.7,2804,4103,3240,52.72802163,40,9994.16233
"523","cui","Cuiba",6.5,-70,"Guahiban","South America","COL",0,40.7,2804,4103,3240,52.72802163,25,10268.88822
"524","cul","Culina",-6,-70.5,"Arauan","South America","BRA",0,34.3,3263,312,1761,59.04878358,21,9539.695534
"525","ncu","Chumburung",7.75,0.25,"Niger-Congo","Africa","GHA",0,21.4,3016,1841,1187,41.03454338,30,5016.121815
"526","cup","Cupeño",33.16666667,-116.5,"Uto-Aztecan","North America","USA",0,20.7,3682,2373,715,33.89972254,38,15876.1519
"527","kpc","Curripaco",2.5,-68.5,"Arawakan","South America","COL",0,40.7,2804,4103,3240,52.72802163,29,9882.32119
"533","ctp","Chatino (Yaitepec)",16.25,-97.25,"Oto-Manguean","North America","MEX",0,40.7,3072,4891,758,33.97206718,25,13357.21477
"536","cyb","Cayuvava",-13.5,-65.5,"Cayuvava","South America","BOL",0,23.3,2256,3245,1146,50.55294009,66,8625.191634
"537","ces","Czech",50,15,"Indo-European","Eurasia","CZE",0,27.3,3256,2189,677,34.53768454,38,9341.096019
"539","dbq","Daba",10.16666667,13.75,"Afro-Asiatic","Africa","CMR",9,16.7,2671,4092,1604,39.80453132,93,4929.165503
"542","dal","Dahalo",-2.333333333,40.5,"Afro-Asiatic","Africa","KEN",0,24.2,2206,3082,630,7.753803985,59,4195.515867
"544","mbp","Damana",11,-73.5,"Chibchan","South America","COL",0,40.7,2804,4103,3240,52.72802163,27,10866.19951
"548","kwa","Dâw",-0.25,-67.08333333,"Nadahup","South America","BRA",0,34.3,3263,312,1761,59.04878358,39,9580.607985
"551","nld","Dutch (Brabantic)",50.75,4.5,"Indo-European","Eurasia","BEL",0,23.7,3733,1316,847,22.56935271,39,9517.088338
"552","daf","Dan (Blowo)",7.333333333,-8.166666667,"Mande","Africa","CIV",13,14.4,2799,3008,1348,32.70754717,179,5376.989539
"554","duj","Dhuwal (Dätiwuy)",-12.16666667,136.25,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,23,11693.53348
"556","god","Dadjriwalé",5.25,-5.666666667,"Niger-Congo","Africa","CIV",3,14.4,2799,3008,1348,32.70754717,42,5040.01858
"558","afn","Defaka",4.583333333,7.5,"Ijoid","Africa","NGA",5,22.2,2700,3741,1150,7.678118515,42,4434.472793
"559","deg","Degema",4.75,6.75,"Niger-Congo","Africa","NGA",2,22.2,2700,3741,1150,7.678118515,36,4473.419337
"560","dny","Dení",-6,-67,"Arauan","South America","BRA",0,34.3,3263,312,1761,59.04878358,22,9217.254654
"561","kbv","Dla (Proper)",-3.583333333,141,"Senagi","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,17,12710.02091
"562","des","Desano",0.833333333,-69.83333333,"Tucanoan","South America","BRA",0,34.3,3263,312,1761,59.04878358,18,9901.602609
"565","dga","Dagaare",10.5,-2.666666667,"Niger-Congo","Africa","GHA",3,21.4,3016,1841,1187,41.03454338,54,5421.05383
"566","dag","Dagbani",9.583333333,-0.5,"Niger-Congo","Africa","GHA",4,21.4,3016,1841,1187,41.03454338,97,5236.077562
"570","dta","Dagur",48,124,"Altaic","Eurasia","CHN",0,25.7,3108,7829,645,22.18966958,29,13828.3267
"581","dih","Diegueño (Mesa Grande)",32.66666667,-116.1666667,"Hokan","North America","USA",0,20.7,3682,2373,715,33.89972254,68,15832.19453
"583","dim","Dime",6.166666667,36.25,"Afro-Asiatic","Africa","ETH",2,26.7,2131,5017,848,12.499,73,4838.210678
"585","dyo","Diola-Fogny",13,-16.25,"Niger-Congo","Africa","SEN",0,21.9,2456,2561,686,42.96992676,58,6380.097505
"586","dif","Diyari",-28,139,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,25,10717.39281
"587","mdx","Dizi",6.166666667,36.5,"Afro-Asiatic","Africa","ETH",0,26.7,2131,5017,848,12.499,30,4848.473736
"592","duj","Djapu",-12.66666667,136,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,23,11636.75389
"594","nld","Dutch (Limburg)",51,5.5,"Indo-European","Eurasia","BEL",0,23.7,3733,1316,847,22.56935271,39,9530.811392
"601","dni","Dani (Lower Grand Valley)",-4.333333333,138.8333333,"Trans-New Guinea","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,24,12471.70174
"602","daa","Dangaléat (Western)",12.16666667,18.33333333,"Afro-Asiatic","Africa","TCD",0,12.8,2110,3845,322,3.871505718,28,5126.80828
"609","dow","Doyayo",8.666666667,13.08333333,"Niger-Congo","Africa","CMR",4,16.7,2671,4092,1604,39.80453132,82,4770.93112
"613","drd","Darma",30,79.75,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,42,9591.389652
"615","dts","Toro So",14.41666667,-3.25,"Dogon","Africa","BFA",0,17.9,2720,2333,748,19.55409357,70,5846.746469
"616","dua","Duala",4,9.416666667,"Niger-Congo","Africa","CMR",5,16.7,2671,4092,1604,39.80453132,33,4323.159233
"622","nld","Dutch",52.5,6,"Indo-European","Eurasia","NLD",0,35.3,3228,1001,778,11.16058178,39,9688.57493
"624","dbl","Dyirbal",-17.83333333,145.5833333,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,16,11993.9843
"626","dyu","Dyula",9.833333333,-4.666666667,"Mande","Africa","CIV",2,14.4,2799,3008,1348,32.70754717,39,5444.332769
"627","igb","Ebira",8.166666667,7,"Niger-Congo","Africa","NGA",3,22.2,2700,3741,1150,7.678118515,31,4834.574098
"629","efi","Efik",4.916666667,8.5,"Niger-Congo","Africa","NGA",0,22.2,2700,3741,1150,7.678118515,20,4444.581557
"630","ega","Ega",5.5,-5.5,"Niger-Congo","Africa","CIV",3,14.4,2799,3008,1348,32.70754717,39,5055.746049
"631","enn","Engenni",5.166666667,6.383333333,"Niger-Congo","Africa","NGA",3,22.2,2700,3741,1150,7.678118515,33,4528.811097
"633","etu","Ejagham",5.416666667,8.666666667,"Niger-Congo","Africa","NGA",7,22.2,2700,3741,1150,7.678118515,88,4494.778594
"634","ekg","Ekari",-3.833333333,135.5,"Trans-New Guinea","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,15,12218.40536
"637","emp","Emberá (Northern)",6.833333333,-77.16666667,"Choco","South America","COL",0,40.7,2804,4103,3240,52.72802163,32,10948.76897
"638","cmi","Embera Chami",5,-76,"Choco","South America","COL",0,40.7,2804,4103,3240,52.72802163,28,10728.54534
"644","eng","English",52,0,"Indo-European","Eurasia","GBR",0,31.9,3424,2325,1220,12.99549456,40,9724.612278
"647","sja","Epena Pedee",3,-77,"Choco","South America","COL",0,40.7,2804,4103,3240,52.72802163,69,10697.32758
"648","erk","Efate (South)",-17.75,168.4166667,"Austronesian","Papunesia","VUT",0,40.6,2836,NA,NA,36.09515997,20,13452.52292
"650","ese","Ese Ejja",-11,-66,"Tacanan","South America","PER",0,34.6,2700,3027,1738,57.79140625,43,8820.711547
"654","ets","Etsako",7.25,6.5,"Niger-Congo","Africa","NGA",3,22.2,2700,3741,1150,7.678118515,36,4749.291419
"657","eve","Even",68,130,"Altaic","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,63,14368.82426
"658","ewe","Ewe (Anglo)",6,1,"Niger-Congo","Africa","GHA",6,21.4,3016,1841,1187,41.03454338,127,4804.67567
"659","ewe","Ewe",6.333333333,0.416666667,"Niger-Congo","Africa","GHA",6,21.4,3016,1841,1187,41.03454338,127,4862.843897
"660","ewo","Ewondo",4,12,"Niger-Congo","Africa","CMR",3,16.7,2671,4092,1604,39.80453132,59,4272.021476
"661","eya","Eyak",60.5,-145,"Na-Dene","North America","USA",0,20.7,3682,2373,715,33.89972254,45,16832.05995
"664","fuh","Fula (Burkina Faso)",14,0,"Niger-Congo","Africa","BFA",0,17.9,2720,2333,748,19.55409357,32,5676.723003
"666","fmp","Fe'fe'",5.25,10.16666667,"Niger-Congo","Africa","CMR",5,16.7,2671,4092,1604,39.80453132,69,4443.173511
"667","fub","Fulani (Gombe)",10.25,11.25,"Niger-Congo","Africa","NGA",0,22.2,2700,3741,1150,7.678118515,156,4971.793236
"668","fuf","Fula (Guinean)",11.5,-12.5,"Niger-Congo","Africa","GIN",0,15.9,2566,319,1651,25.89939769,38,6018.44873
"670","fin","Finnish",62,25,"Uralic","Eurasia","FIN",0,31.3,3368,1026,536,73.10716989,67,10686.17672
"673","fuh","Ful (Liptako)",13.5,0.5,"Niger-Congo","Africa","BFA",0,17.9,2720,2333,748,19.55409357,32,5606.247082
"674","fuc","Fula (Mauritanian)",16.5,-13.75,"Niger-Congo","Africa","MRT",0,18,2876,2909,92,0.217813137,38,6563.519777
"675","fuv","Fula (Nigerian)",8.166666667,10.5,"Niger-Congo","Africa","NGA",0,22.2,2700,3741,1150,7.678118515,95,4755.963703
"676","frr","Frisian (North)",54.5,9,"Indo-European","Eurasia","DEU",0,29.8,3499,1439,700,32.73242198,42,9876.984955
"678","fon","Fongbe",6.416666667,2.166666667,"Niger-Congo","Africa","BEN",4,13.4,2619,3016,1039,38.23164243,42,4802.751562
"683","fra","French",48,2,"Indo-European","Eurasia","FRA",0,30.4,3482,2187,867,31.02690679,77,9258.138945
"687","fub","Fula (Cameroonian)",9.166666667,13.5,"Niger-Congo","Africa","CMR",0,16.7,2671,4092,1604,39.80453132,156,4821.244367
"689","fun","Fulniô",-8,-37.5,"Yatê","South America","BRA",0,34.3,3263,312,1761,59.04878358,63,6389.950501
"692","fuc","Fula (Senegal)",15,-14,"Niger-Congo","Africa","SEN",0,21.9,2456,2561,686,42.96992676,38,6434.977305
"694","cdo","Fuzhou",26,119.5,"Sino-Tibetan","Eurasia","CHN",0,25.7,3108,7829,645,22.18966958,21,12549.62811
"696","gaa","Gã",5.666666667,-0.166666667,"Niger-Congo","Africa","GHA",5,21.4,3016,1841,1187,41.03454338,126,4818.618255
"704","apq","Great Andamanese",12,92.66666667,"Great Andamanese","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,59,9344.316013
"706","grt","Garo",25.66666667,90.5,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,47,10084.4286
